id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_sale_promotion_qty_system,access_sale_promotion_qty_system,model_sale_promotion_qty,base.group_system,1,1,1,1
access_sale_promotion_qty_manager,access_sale_promotion_qty_manager,model_sale_promotion_qty,sales_team.group_sale_manager,1,1,1,1
access_sale_promotion_qty_admin,access_sale_promotion_qty_admin,model_sale_promotion_qty,d_hr_administration.administration,1,1,1,1
access_sale_promotion_qty_readonly,access_sale_promotion_qty_readonly,model_sale_promotion_qty,d_hr_administration.no_edit_promotions,1,0,0,0
access_sale_promotion_system,access_sale_promotion_system,model_sale_promotion,base.group_system,1,1,1,1
access_sale_promotion_manager,access_sale_promotion_manager,model_sale_promotion,sales_team.group_sale_manager,1,1,1,1
access_sale_promotion_admin,access_sale_promotion_admin,model_sale_promotion,d_hr_administration.administration,1,1,1,1
access_sale_promotion_readonly,access_sale_promotion_readonly,model_sale_promotion,d_hr_administration.no_edit_promotions,1,0,0,0
access_sale_campaign_system,access_sale_campaign_system,model_sale_campaign,base.group_system,1,1,1,1
access_sale_campaign_manager,access_sale_campaign_manager,model_sale_campaign,sales_team.group_sale_manager,1,1,1,1
access_sale_campaign_admin,access_sale_campaign_admin,model_sale_campaign,d_hr_administration.administration,1,1,1,1
access_sale_campaign_readonly,access_sale_campaign_readonly,model_sale_campaign,d_hr_administration.no_edit_promotions,1,0,0,0
